crse_code,levl_code,styp_code,train_code,pred_code,202308_current,202408_current,202308_final,202408_predict,202408_change_pct,pred_code_final,pred_code_predict,pred_code_error,pred_code_error_pct,pred_code_mlt,train_score,test_score,overall_score
_allcrse,ug,n,all,202308,778,1001,2700,3172.44,17.5,2700,2746.65,46.65,1.73,1.05,19.36,15.4,17.38
_allcrse,ug,n,all,202208,778,1001,2700,3233.37,19.75,2448,2390.27,-57.73,-2.36,1.07,19.36,18.34,18.85
_allcrse,ug,n,all,202108,778,1001,2700,3277.58,21.39,2142,2163.47,21.47,1.0,1.08,19.36,22.64,21.0
_allcrse,ug,n,202308,202308,778,1001,2700,3126.52,15.8,2700,2695.62,-4.38,-0.16,1.05,15.77,14.42,15.09
_allcrse,ug,n,202308,202208,778,1001,2700,3186.57,18.02,2448,2236.33,-211.67,-8.65,1.07,15.77,20.54,18.15
_allcrse,ug,n,202308,202108,778,1001,2700,3230.13,19.63,2142,2010.76,-131.24,-6.13,1.08,15.77,25.91,20.84
_allcrse,ug,n,202208,202308,778,1001,2700,3593.82,33.1,2700,3053.15,353.15,13.08,1.05,17.73,18.74,18.23
_allcrse,ug,n,202208,202208,778,1001,2700,3662.85,35.66,2448,2442.71,-5.29,-0.22,1.07,17.73,17.21,17.47
_allcrse,ug,n,202208,202108,778,1001,2700,3712.92,37.52,2142,2245.31,103.31,4.82,1.08,17.73,24.12,20.92
_allcrse,ug,n,202108,202308,778,1001,2700,3085.04,14.26,2700,2612.53,-87.47,-3.24,1.05,23.47,18.05,20.76
_allcrse,ug,n,202108,202208,778,1001,2700,3144.29,16.46,2448,2242.41,-205.59,-8.4,1.07,23.47,20.63,22.05
_allcrse,ug,n,202108,202108,778,1001,2700,3187.28,18.05,2142,2157.01,15.01,0.7,1.08,23.47,21.11,22.29
agec2317,ug,n,all,202308,49,74,212,261.2,23.21,212,223.75,11.75,5.54,1.02,6.62,6.05,6.33
agec2317,ug,n,all,202208,49,74,212,262.49,23.82,211,215.82,4.82,2.29,1.02,6.62,6.1,6.36
agec2317,ug,n,all,202108,49,74,212,277.87,31.07,193,175.52,-17.48,-9.06,1.08,6.62,6.9,6.76
agec2317,ug,n,202308,202308,49,74,212,248.51,17.22,212,209.36,-2.64,-1.24,1.02,6.58,5.79,6.18
agec2317,ug,n,202308,202208,49,74,212,249.74,17.8,211,197.33,-13.67,-6.48,1.02,6.58,6.57,6.57
agec2317,ug,n,202308,202108,49,74,212,264.37,24.7,193,141.25,-51.75,-26.81,1.08,6.58,7.83,7.21
agec2317,ug,n,202208,202308,49,74,212,262.41,23.78,212,216.52,4.52,2.13,1.02,6.54,6.54,6.54
agec2317,ug,n,202208,202208,49,74,212,263.71,24.39,211,212.35,1.35,0.64,1.02,6.54,5.88,6.21
agec2317,ug,n,202208,202108,49,74,212,279.16,31.68,193,158.24,-34.76,-18.01,1.08,6.54,7.79,7.17
agec2317,ug,n,202108,202308,49,74,212,237.56,12.06,212,200.35,-11.65,-5.49,1.02,6.82,6.81,6.81
agec2317,ug,n,202108,202208,49,74,212,238.73,12.61,211,184.01,-26.99,-12.79,1.02,6.82,7.1,6.96
agec2317,ug,n,202108,202108,49,74,212,252.72,19.21,193,195.63,2.63,1.37,1.08,6.82,3.67,5.24
